word,color,condition,correct_key,block
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
red,red,congruent,D,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
blue,blue,congruent,F,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
green,green,congruent,J,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
yellow,yellow,congruent,K,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,blue,incongruent,F,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,green,incongruent,J,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
red,yellow,incongruent,K,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,red,incongruent,D,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,green,incongruent,J,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
blue,yellow,incongruent,K,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,red,incongruent,D,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,blue,incongruent,F,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
green,yellow,incongruent,K,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,red,incongruent,D,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,blue,incongruent,F,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
yellow,green,incongruent,J,stroop
