participant_nr,group,stroop_type,trial_nr,word,color,condition,correct_key,pressed_key,rt,correct
101,control,stroop,1,yellow,yellow,congruent,K,k,0.7234541670040926,correct
101,control,stroop,2,yellow,yellow,congruent,K,k,0.45517950000066776,correct
101,control,stroop,3,red,blue,incongruent,F,f,1.2831510830001207,correct
101,control,stroop,4,yellow,yellow,congruent,K,k,0.557090458998573,correct
101,control,stroop,5,red,blue,incongruent,F,f,0.5012900010042358,correct
101,control,stroop,6,red,blue,incongruent,F,f,0.4650224170036381,correct
101,control,stroop,7,red,blue,incongruent,F,f,0.47197095899900887,correct
101,control,stroop,8,yellow,yellow,congruent,K,k,0.5545428759942297,correct
101,control,stroop,9,red,blue,incongruent,F,f,0.4343456250062445,correct
101,control,stroop,10,red,blue,incongruent,F,f,0.3474682920059422,correct
101,control,reverse,11,yellow,yellow,congruent,K,k,1.8099602919974132,correct
101,control,reverse,12,red,blue,incongruent,D,d,2.4838943330105394,correct
101,control,reverse,13,red,blue,incongruent,D,d,0.49784583400469273,correct
101,control,reverse,14,yellow,yellow,congruent,K,k,0.4983367509994423,correct
101,control,reverse,15,yellow,yellow,congruent,K,d,0.40002766699763015,incorrect
101,control,reverse,16,red,blue,incongruent,D,f,0.5508595420105848,incorrect
101,control,reverse,17,red,blue,incongruent,D,d,0.4753597919916501,correct
101,control,reverse,18,yellow,yellow,congruent,K,k,0.5134258329926524,correct
101,control,reverse,19,red,blue,incongruent,D,d,0.45841808400291484,correct
101,control,reverse,20,red,blue,incongruent,D,d,0.479031541995937,correct
